component,species,genome,npops,syndrome,asymmetry_p,asymmetry_r,diversity_p,diversity_r,flow_p,flow_r,isolation_p,isolation_r
1002a,Quercus kerrii,nu,35,0.5,0.025000000000000022,0.24606742904410317,0.06999999999999995,0.21399591196880516,0.06399999999999995,0.10294569136372181,0.18700000000000006,0.05538962109246143
18a,Quercus liaotungensis,nu,17,0.5,0.0030000000000000027,0.4247883303554556,0.139,0.1677277243317396,0.016000000000000014,0.18463110472269456,0.15300000000000002,0.11139734545342397
1012a,Quercus lobata,nu,48,0.5,0.138,0.12030184799669447,0.34299999999999997,0.05487513326067962,0.33999999999999997,0.031548096443028056,0.804,-0.039423732680691784
15c,Quercus minima,nu,6,0.5,0.969,-0.6032019249220489,0.10199999999999998,0.5589322264638834,0.898,-0.3469541674427553,0.524,-0.015295319737298717
18b,Quercus mongolica,nu,17,0.5,0.885,-0.24822005276596937,0.15500000000000003,0.24835025482961162,0.913,-0.1999182071809076,0.97,-0.1684460793764719
15e,Quercus oleoides,nu,25,0.5,0.8160000000000001,-0.13296282512797863,0.026000000000000023,0.37084876243127934,0.849,-0.13027329209578659,0.30600000000000005,0.054554750525544045
1l,Quercus pacifica,nu,3,0.5,0,0.9258651376305209,NA,NA,0,0.9258651376305208,0.134,0.24471622661568382
1008b,Quercus petraea,nu,8,0.5,0.22899999999999998,0.23712787575561148,0.776,-0.31343264516487074,0.09299999999999997,0.2654829689465326,0.10299999999999998,0.28958272080858954
1010c,Quercus petraea,nu,15,0.5,0.581,-0.037331475823985084,0.17100000000000004,0.2549549210448929,0.244,0.07655308965463135,0.245,0.07640105304730117
1010b,Quercus pubescens,nu,12,0.5,0.529,-0.01884483471397086,0.6599999999999999,-0.08668804942237361,0.22199999999999998,0.1047393359436086,0.134,0.19159959467413737
1008a,Quercus robur,nu,9,0.5,0.808,-0.25426093662004434,0.833,-0.32770175865421775,0.853,-0.2183767165206297,0.5349999999999999,-0.013794248116696974
1010a,Quercus robur,nu,18,0.5,0.62,-0.05758098762243883,0.41300000000000003,0.0548204759033485,0.46299999999999997,0.018376960611392223,0.0050000000000000044,0.2554467098625661
15g,Quercus sagraena,nu,3,0.5,0,0.7093931164971999,0.15200000000000002,0.9845956503987865,NA,NA,NA,NA
15a,Quercus virginiana,nu,25,0.5,0.29300000000000004,0.08801264184177122,0.263,0.08979920134130805,0.253,0.08709583271842834,0.268,0.08017659256191409
141a,Rhizophora mangle,nu,9,0.5,0.04400000000000004,0.4503440356378956,0.31999999999999995,0.1560381416855053,0.030000000000000027,0.3386183671009391,0.028000000000000025,0.3830850755913951
143a,Rhizophora mangle,nu,8,0.5,0.698,-0.17398682356554532,0.21299999999999997,0.36825856159310427,0.638,-0.08188041130617457,0.51,0.004395101348547337
142a,Rhizophora mucronata,nu,24,0.5,0.5760000000000001,-0.03669123558723837,0.383,0.05346957557515963,0.41200000000000003,0.02620319758591013,0.469,0.007784156090407281
142b,Rhizophora stylosa,nu,11,0.5,0.886,-0.272165561759378,0.606,-0.07495817670442984,0.629,-0.037780950843003924,0.04600000000000004,0.3134232167753522
1093a,Taxus baccata,nu,5,0.5,0.942,-0.763956273638955,0.33199999999999996,0.18097714350203017,0.981,-0.6719686588816611,0.41100000000000003,0.19373873545123088
1090a,Taxus contorta,nu,6,0.5,0.6859999999999999,-0.13598536991023338,0.14200000000000002,0.5155948206015505,0.606,-0.02988047475335836,0.5640000000000001,-0.03476803179604305
1 Quercus berberidifolia,NA,NA,NA,0.5~0,0.11099999999999999,0.2209680062984349,0.788,-0.17372591668442325,0.31899999999999995,0.04548124842506623,0.929,-0.10774877965225269
1 Quercus cornelius-mulleri,NA,NA,NA,0.5~0,0.29600000000000004,0.16015676688516076,0.30900000000000005,-0.8257840223016816,0.238,0.23365589528003372,0.126,0.42418999656079576
1 Quercus durata,NA,NA,NA,0.5~0,0.829,-0.2931012142112037,0.657,-0.8700274039132633,0.851,-0.22563258065152647,0.875,-0.215613233633587
1 Quercus john-tuckeri,NA,NA,NA,0.5~0,0.741,-0.334886066020081,0.825,-0.42951474839979825,0.8180000000000001,-0.3138436132638224,0.861,-0.4486512718563351
1 Quercus pacifica,NA,NA,NA,0.5~0,0.15200000000000002,0.7296536381747687,NA,NA,0.15200000000000002,0.7296536381747681,0.134,0.30115263584098234
1012 Quercus lobata,NA,NA,NA,0.5~0,0.21199999999999997,0.16063689452812843,0.32599999999999996,0.11287941211229115,0.017000000000000015,0.2220260970696181,0.11599999999999999,0.0997722833151109
63a,Abies alba,nu,23,1,0.903,-0.1810800552360438,0.20099999999999996,0.1499238260002283,0.8029999999999999,-0.07473592414121852,0.556,-0.016243747357210035
1005a,Acer saccharum,nu,4,1,0.34099999999999997,0.31146069719852726,0.836,-0.8148197299377069,0.07899999999999996,0.4034829641763462,NA,NA
1009a,Acer saccharum,nu,23,1,0.27,0.09997369602611894,0.11299999999999999,0.2715612764049243,0.09499999999999997,0.08628918778228714,0.08099999999999996,0.10763451829037061
1025a,Alnus glutinosa,nu,8,1,0.5880000000000001,-0.07939667221328242,0.24,0.28284201553950994,0.44099999999999995,0.02850471873601823,0.29200000000000004,0.13510148534970284
16a,Alnus glutinosa,nu,17,1,0.5760000000000001,-0.023511114282103625,0.273,0.1339771450977689,0.6930000000000001,-0.056462803895781906,0.16100000000000003,0.14640600270453713
17b,Betula ermanii,nu,6,1,0.46299999999999997,0.012965696959408829,0.904,-0.597878725951434,0.8160000000000001,-0.18472648166054467,0.512,-0.1155533192971357
1028a,Betula maximowicziana,nu,45,1,1,-0.581203924007362,0.8029999999999999,-0.09033134096861481,1,-0.21142752389482797,0.906,-0.055925777612649975
17f,Betula maximowicziana,nu,9,1,0.506,-0.0036077589074847128,0.815,-0.18619397268510496,0.33799999999999997,0.09625271953826725,0.33899999999999997,0.24645384215269406
1017c,Betula nana,nu,16,1,0.10599999999999998,0.2566186980324453,0.626,-0.07532292418229161,0.11499999999999999,0.26658244677207377,0.07399999999999995,0.5227444360887818
17d,Betula pendula,nu,29,1,0.014000000000000012,0.3189363029795411,0.07499999999999996,0.24970453499077,0.009000000000000008,0.2584630080555276,0.0010000000000000009,0.35834349298173374
17e,Betula platyphylla,nu,10,1,0.998,-0.6557078171448341,0.742,-0.19835909182443365,0.927,-0.39427381859287514,0.469,0.031147213764547974
17a,Betula pubsescens,nu,46,1,0.53,-0.014477598226236078,0.09599999999999997,0.19532591199003616,0.975,-0.14271831057655968,0.875,-0.11198921531174175
112a,Callitris columellaris,nu,3,1,0.477,-0.48019770890356545,0.16800000000000004,0.7027071594679678,NA,NA,NA,NA
112b,Callitris glaucophylla,nu,30,1,1,-0.4385261922357515,0.08799999999999997,0.22386428116914764,1,-0.2395966242279213,0.983,-0.17513148447801494
112c,Callitris gracilis,nu,6,1,0.396,0.10986063756353197,0.865,-0.45646122147056867,0.6910000000000001,-0.6330116456015124,0,0.9997607284657614
112d,Callitris intratropica,nu,15,1,1,-0.5404239489957201,0.871,-0.2945727256109876,1,-0.24854288934898375,0.688,-0.05019784175158246
112e,Callitris verrucosa,nu,5,1,0.15100000000000002,0.49740078655864317,0.358,0.3114141943529913,0,0.7730782761048659,0.482,-0.3561705235418503
1062a,Chamaecyparis lawsoniana,nu,3,1,0.495,-0.19937675017544662,0.657,-0.9660678538149474,0.495,-0.1993767501754472,0.825,-0.9996585509904778
1065b,Larix cajanderi,cp,19,1,0.014000000000000012,0.3313747211851823,0.041000000000000036,0.3545679961644659,0.08999999999999997,0.1026881024159902,0.5660000000000001,-0.018552211299702456
1067a,Larix decidua,nu,18,1,0.15500000000000003,0.17852910999305188,0.493,0.005841282431398953,0.06999999999999995,0.13709105427800541,0.03700000000000003,0.19443745288198136
1068a,Larix decidua,nu,40,1,0.028000000000000025,0.22564977773522418,0.243,0.09427639786370236,0.017000000000000015,0.133098218644932,0.5609999999999999,-0.011572459593320228
63b,Larix decidua,nu,12,1,0.16200000000000003,0.23308126440846388,0.32899999999999996,0.11055345501434058,0.33799999999999997,0.03499882757235692,0.69,-0.0650541548966007
1065c,Larix gmelinii,cp,16,1,0.274,0.1300916329759243,0.17400000000000004,0.25462284246249023,0.481,0.007936289139801269,0.7010000000000001,-0.07489483203180222
1065e,Larix kamtschatica,cp,7,1,0.31999999999999995,0.21004178038628396,NA,NA,0.11499999999999999,0.31649968157544023,0.20099999999999996,0.36581816061873274
